,set_id,reference_yt_id,Feedback,F_len
0,2618,u0XxFRuyD_s,"video 1 was a bit problematic, I eventually selected  ""Video does not contain music"" even if there is a very short ""jingle"" at the start of the video. At first I had selected ""...a different song"" as I assumed you wanted an evalutation of that little piece of music, then I investigated a bit and watched the ""examples"" in the instructions, the 4th example is Metallica interviewed by Jimmy Kimmel and include some music (eg. immediately after Kimmel introduce Metallica), but instructions suggest to select ""Video does not contain music"" because it is basically an interview ... I hope I was not wrong but it is somewhat a borderline case, a long basketball video introduced by a 10-seconds short jingle. BTW the jingle was ""...a different song""!",747
1,667,TLV4_xaYynY,"Video 2 is a karaoke version, I checked the option which is the same song but a different version.There's no song in Video 3 and Video 4.Even though there might be interruptions (e.g. speech), the music is still copied from the original audio (Video 7).I'd like to point out that there are no ""bad examples"" instructions, so it's hard for us workers to know if we're performing correctly. I noticed in a forum that there are workers commenting that they were rejected when performing this work, so it's important to set bad examples and even more good examples in instructions, to avoid this type of inconvenience. This will keep workers doing a consistent and good job.",674
2,1919,VQgb-jR1MdU,"Video 2 does not load, even the thumbnail says ""Video unaivalable"", I tried to reload the page but it kept not working (there is not even the typical ""play"" button on the bottom right) so I selected "" Video does not contain music"". Video 6, the song is performed ""a cappella"", I was tempted to select "" Video does not contain music"" but it's still music for me(there are notes, the performer follows the melody and so on), so I rated it accordingly, I hope it's not controversial. P.S., let me take this opportunity to thank you for the previous bonuses, unexpected and much appreciated!!",588
3,348,k6_8c0CyK3c,"This sentence needs rework, because it's confusing. ""Your task is to identify for video each of the other videos listed below whether an excerpt of the song in the Reference Video is contained in it or another (cover) version of the song. ""  A better construct of this sentence might be ""Your task is to determine if the reference video is contained in each of the other videos below. It could be an excerpt, another version (cover) or the exact same as the reference video""",474
4,4504,HreJxxfzrMw,"For Video 4 and Video 9 in this HIT, the YouTube embeds did not work (it stated ""Video unavailable - This video is not available""; please see the following screenshots indicating the issue: https://i.ibb.co/5vS3dyj/image.png , https://i.ibb.co/X3Qb9x9/image.png ). It would be beneficial to be able to flag such broken embeds. I selected ""Video does not contain music"" as the next best option.",393
5,1211,JsgJTvGscF4,"I don't know how to answer 5 as it is the same ""song"" but it's from a different band, and in a different language. 8 and 10 I also have issues with as it's the song, but it's only backing tracks of the song so it is technically the same song or a different song? Bit of a Thesues paradox. Sent an email but didn't get a response in time so just submitting this and hoping for the best.",385
6,3220,-UvtOQnPE5c,"Video 5 contains no video and has the message: Video unavailable: This video contains content from NBC Universal, who has blocked it in your country on copyright grounds. Video 7, Video 8, and Video 10 are teaching you how to play a different song, and contain some talking, but also songs.  For this reason I labeled them ""a different song"".              MTURK ID:  A2VAL2BRKVSUB5",381
7,526,97PAY9wl63E,"video 4 is mute, no audio, I even tried to reload the page but nothing changed, audio is not working. Video 5, the song starts at about the third minute, but it's her. Video 9, it's half music and half words (or probably more words than music up to the point that  I was tempted to select ""does not contain music""), but btw the music does not belong to the reference song.",372
8,5395,QdUDFkuUrN8,"The Three last videos show versions of Back to Black by Amy Winehouse, but not by Vintage Reggae Café, that's why I chose the option ""...a different song"". If it's not about the exact performer and cover version, these last three would be ""...the same song but a different recording."", because it's a cover from the original song which is from Amy Winehouse.",359
9,4998,VP87KQOxOFc,"What should we do with covers or excerpts of isolated instruments?  There was a drum lesson and a drum beat that were clearly the 'same song but a different recording', but I'm not sure if those are considered true excerpts or not.  Adding something in the instructions addressing this specific situation would be helpful.  Thanks!",331
